model,timezero,target_end_date_1wk_ahead,target_group,num_units_eligible,v1_github_timestamp,v2_github_timestamp,v3_github_timestamp,in_zoltar
UMass-MechBayes,5/17/20,5/23/20,inc,51,05/18/20-17:59:18,,,v1
UMass-MechBayes,5/24/20,5/30/20,inc,51,05/25/20-18:45:05,,,v1
UMass-MechBayes,5/31/20,6/6/20,inc,51,06/01/20-15:47:56,06/17/20-16:14:26,06/18/20-22:38:23,v3
UMass-MechBayes,6/7/20,6/13/20,inc,51,06/08/20-17:53:40,,,v1
UMass-MechBayes,6/14/20,6/20/20,inc,51,06/15/20-15:36:48,,,v1
UMass-MechBayes,6/21/20,6/27/20,inc,51,06/22/20-17:28:45,,,v1
UMass-MechBayes,6/28/20,7/4/20,inc,51,06/29/20-18:13:47,,,v1
UMass-MechBayes,7/5/20,7/11/20,inc,51,07/07/20-08:59:39,07/15/20-11:51:33,,v1
UMass-MechBayes,7/12/20,7/18/20,inc,51,07/13/20-19:46:47,07/15/20-11:51:33,07/17/20-16:41:11,v3
UMass-MechBayes,7/19/20,7/25/20,inc,51,07/20/20-17:19:20,,,v1
UMass-MechBayes,7/26/20,8/1/20,inc,51,07/27/20-18:18:17,,,v1
UMass-MechBayes,8/2/20,8/8/20,inc,51,08/03/20-13:22:56,,,v1
UMass-MechBayes,8/9/20,8/15/20,inc,51,08/10/20-10:50:55,,,v1
UMass-MechBayes,8/16/20,8/22/20,inc,51,08/17/20-13:04:47,,,v1
UMass-MechBayes,8/23/20,8/29/20,inc,51,08/24/20-11:24:09,,,v1
USACE-ERDC_SEIR,6/1/20,6/6/20,inc,51,06/01/20-17:53:20,06/04/20-15:13:25,,v2
USACE-ERDC_SEIR,6/8/20,6/13/20,inc,51,06/08/20-17:50:59,,,v1
USACE-ERDC_SEIR,6/15/20,6/20/20,inc,51,06/15/20-17:37:25,,,v1
USACE-ERDC_SEIR,6/22/20,6/27/20,inc,51,06/29/20-21:52:10,,,v1
USACE-ERDC_SEIR,6/29/20,7/4/20,inc,51,06/29/20-21:52:10,,,v1
USACE-ERDC_SEIR,7/6/20,7/11/20,inc,51,07/06/20-21:12:01,,,v1
USACE-ERDC_SEIR,7/13/20,7/18/20,inc,51,07/13/20-19:52:16,,,v1
USACE-ERDC_SEIR,7/20/20,7/25/20,inc,51,07/20/20-20:36:59,07/27/20-18:45:54,,v2
USACE-ERDC_SEIR,7/27/20,8/1/20,inc,51,07/27/20-18:45:54,07/28/20-12:18:41,,v2
USACE-ERDC_SEIR,8/3/20,8/8/20,inc,51,08/03/20-19:42:41,,,v1
USACE-ERDC_SEIR,8/10/20,8/15/20,inc,51,08/10/20-18:34:54,,,v1
USACE-ERDC_SEIR,8/17/20,8/22/20,inc,51,08/17/20-17:54:37,,,v1
USACE-ERDC_SEIR,8/24/20,8/29/20,inc,51,08/24/20-18:19:35,,,v1
GT-DeepCOVID,5/25/20,5/30/20,inc,31,05/25/20-19:49:37,,,v1
GT-DeepCOVID,6/1/20,6/6/20,inc,35,06/01/20-17:39:18,,,v1
GT-DeepCOVID,6/8/20,6/13/20,inc,33,06/09/20-15:26:39,,,v1
GT-DeepCOVID,6/15/20,6/20/20,inc,37,06/15/20-15:36:05,,,v1
GT-DeepCOVID,6/22/20,6/27/20,inc,40,06/22/20-17:18:51,,,v1
GT-DeepCOVID,6/29/20,7/4/20,inc,40,06/29/20-16:35:32,,,v1
GT-DeepCOVID,7/6/20,7/11/20,inc,41,07/06/20-21:06:59,,,v1
GT-DeepCOVID,7/13/20,7/18/20,inc,46,07/13/20-19:48:44,,,v1
GT-DeepCOVID,7/20/20,7/25/20,inc,45,07/20/20-15:36:52,,,v1
GT-DeepCOVID,7/27/20,8/1/20,inc,44,07/27/20-18:16:53,,,v1
GT-DeepCOVID,8/3/20,8/8/20,inc,44,08/03/20-16:37:17,,,v1
GT-DeepCOVID,8/10/20,8/15/20,inc,44,08/10/20-18:36:27,,,v1
GT-DeepCOVID,8/17/20,8/22/20,inc,46,08/17/20-17:55:57,,,v1
GT-DeepCOVID,8/24/20,8/29/20,inc,48,08/24/20-18:21:37,,,v1
IHME-CurveFit,5/18/20,5/23/20,inc,51,05/19/20-17:13:14,,,v1
IHME-CurveFit,5/29/20,6/6/20,inc,51,06/01/20-15:44:08,,,v1
IHME-CurveFit,6/8/20,6/13/20,inc,51,06/08/20-19:36:04,,,v1
IHME-CurveFit,6/15/20,6/20/20,inc,51,06/15/20-17:46:29,,,v1
IHME-CurveFit,6/22/20,6/27/20,inc,51,06/22/20-17:24:52,,,v1
IHME-CurveFit,6/29/20,7/4/20,inc,51,06/29/20-19:05:42,,,v1
IHME-CurveFit,7/6/20,7/11/20,inc,51,07/07/20-08:35:00,,,v1
IHME-CurveFit,7/17/20,7/25/20,inc,51,07/19/20-11:12:30,,,v1
IHME-CurveFit,7/23/20,8/1/20,inc,51,07/23/20-15:46:23,,,v1
IHME-CurveFit,7/30/20,8/8/20,inc,51,07/31/20-17:03:01,,,v1
IHME-CurveFit,8/6/20,8/15/20,inc,51,08/06/20-19:07:39,,,v1
IHME-CurveFit,8/24/20,8/29/20,inc,51,08/24/20-18:23:05,,,v1
COVIDhub-ensemble,6/8/20,6/13/20,inc,51,06/09/20-11:45:39,,,v1
COVIDhub-ensemble,6/15/20,6/20/20,inc,51,06/16/20-11:53:14,,,v1
COVIDhub-ensemble,6/22/20,6/27/20,inc,51,06/23/20-11:51:02,,,v1
COVIDhub-ensemble,6/29/20,7/4/20,inc,51,06/30/20-12:52:21,,,v1
COVIDhub-ensemble,7/6/20,7/11/20,inc,51,07/07/20-13:20:11,07/07/20-14:27:11,,v2
COVIDhub-ensemble,7/13/20,7/18/20,inc,51,07/14/20-13:03:46,,,v1
COVIDhub-ensemble,7/20/20,7/25/20,inc,51,07/21/20-15:57:31,,,v1
COVIDhub-ensemble,7/27/20,8/1/20,inc,51,07/28/20-14:39:10,,,v1
COVIDhub-ensemble,8/3/20,8/8/20,inc,51,08/04/20-12:39:06,,,v1
COVIDhub-ensemble,8/10/20,8/15/20,inc,51,08/11/20-13:05:25,,,v1
COVIDhub-ensemble,8/17/20,8/22/20,inc,51,08/18/20-11:04:20,,,v1
COVIDhub-ensemble,8/24/20,8/29/20,inc,51,08/25/20-09:52:13,,,v1
COVIDhub-baseline,5/18/20,5/23/20,inc,51,07/06/20-21:48:04,,,v1
COVIDhub-baseline,5/25/20,5/30/20,inc,51,07/06/20-21:48:04,,,v1
COVIDhub-baseline,6/1/20,6/6/20,inc,51,07/06/20-21:48:04,,,v1
COVIDhub-baseline,6/8/20,6/13/20,inc,51,07/06/20-21:48:04,,,v1
COVIDhub-baseline,6/15/20,6/20/20,inc,51,07/06/20-21:48:04,,,v1
COVIDhub-baseline,6/22/20,6/27/20,inc,51,07/06/20-21:48:04,,,v1
COVIDhub-baseline,6/29/20,7/4/20,inc,51,07/06/20-21:48:04,,,v1
COVIDhub-baseline,7/6/20,7/11/20,inc,51,07/06/20-21:48:04,,,v1
COVIDhub-baseline,7/13/20,7/18/20,inc,51,07/13/20-17:29:05,,,v1
COVIDhub-baseline,7/20/20,7/25/20,inc,51,07/20/20-17:19:37,,,v1
COVIDhub-baseline,7/27/20,8/1/20,inc,51,07/29/20-11:28:00,,,v1
COVIDhub-baseline,8/3/20,8/8/20,inc,51,08/03/20-13:22:08,,,v1
COVIDhub-baseline,8/10/20,8/15/20,inc,51,08/10/20-18:35:26,,,v1
COVIDhub-baseline,8/17/20,8/22/20,inc,51,08/18/20-10:20:31,,,v1
COVIDhub-baseline,8/24/20,8/29/20,inc,51,08/26/20-17:31:20,,,v1
UCLA-SuEIR,6/14/20,6/20/20,inc,51,06/15/20-04:27:37,,,v1
UCLA-SuEIR,6/21/20,6/27/20,inc,51,06/22/20-13:14:19,,,v1
UCLA-SuEIR,6/28/20,7/4/20,inc,51,06/29/20-16:28:39,,,v1
UCLA-SuEIR,7/5/20,7/11/20,inc,51,07/06/20-20:55:43,07/07/20-19:12:33,,v2
UCLA-SuEIR,7/12/20,7/18/20,inc,51,07/13/20-16:02:25,,,v1
UCLA-SuEIR,7/19/20,7/25/20,inc,51,07/20/20-14:00:13,07/22/20-08:41:03,,v2
UCLA-SuEIR,7/26/20,8/1/20,inc,51,07/27/20-01:01:03,,,v1
UCLA-SuEIR,8/2/20,8/8/20,inc,51,08/03/20-03:44:36,,,v1
UCLA-SuEIR,8/9/20,8/15/20,inc,51,08/10/20-03:25:01,,,v1
UCLA-SuEIR,8/16/20,8/22/20,inc,51,08/17/20-14:43:29,,,v1
UCLA-SuEIR,8/23/20,8/29/20,inc,51,08/24/20-15:49:25,,,v1
UT-Mobility,5/18/20,5/23/20,inc,51,05/18/20-10:49:56,,,v1
UT-Mobility,5/25/20,5/30/20,inc,51,05/25/20-19:51:03,05/26/20-17:05:51,,v2
UT-Mobility,6/1/20,6/6/20,inc,51,06/01/20-16:30:42,,,v1
UT-Mobility,6/8/20,6/13/20,inc,51,06/08/20-12:11:13,,,v1
UT-Mobility,6/15/20,6/20/20,inc,51,06/15/20-15:35:08,,,v1
UT-Mobility,6/22/20,6/27/20,inc,51,06/22/20-15:32:44,,,v1
UT-Mobility,6/29/20,7/4/20,inc,51,06/29/20-17:12:32,,,v1
UT-Mobility,7/6/20,7/11/20,inc,51,07/06/20-20:56:11,,,v1
UT-Mobility,7/13/20,7/18/20,inc,51,07/13/20-16:00:52,,,v1
UT-Mobility,7/20/20,7/25/20,inc,51,07/20/20-14:00:28,,,v1
UT-Mobility,7/27/20,8/1/20,inc,51,07/27/20-18:42:46,,,v1
UT-Mobility,8/3/20,8/8/20,inc,51,08/03/20-14:51:06,,,v1
UT-Mobility,8/17/20,8/22/20,inc,51,08/17/20-17:51:39,,,v1
UT-Mobility,8/24/20,8/29/20,inc,51,08/24/20-11:24:48,,,v1
MOBS-GLEAM_COVID,5/18/20,5/23/20,inc,51,07/15/20-16:58:03,,,v1
MOBS-GLEAM_COVID,5/25/20,5/30/20,inc,51,07/15/20-16:58:03,,,v1
MOBS-GLEAM_COVID,6/1/20,6/6/20,inc,51,07/15/20-16:58:03,,,v1
MOBS-GLEAM_COVID,6/8/20,6/13/20,inc,51,07/15/20-16:58:03,,,v1
MOBS-GLEAM_COVID,6/15/20,6/20/20,inc,51,07/15/20-16:58:03,,,v1
MOBS-GLEAM_COVID,6/22/20,6/27/20,inc,51,07/15/20-16:58:03,,,v1
MOBS-GLEAM_COVID,6/29/20,7/4/20,inc,51,07/15/20-16:58:03,,,v1
MOBS-GLEAM_COVID,7/6/20,7/11/20,inc,51,07/15/20-16:58:03,,,v1
MOBS-GLEAM_COVID,7/13/20,7/18/20,inc,51,07/15/20-16:58:03,,,v1
MOBS-GLEAM_COVID,7/20/20,7/25/20,inc,51,07/21/20-07:16:47,,,v1
MOBS-GLEAM_COVID,7/27/20,8/1/20,inc,51,07/27/20-18:40:24,,,v1
MOBS-GLEAM_COVID,8/3/20,8/8/20,inc,51,08/03/20-18:41:45,08/12/20-21:59:25,,v2
MOBS-GLEAM_COVID,8/10/20,8/15/20,inc,51,08/10/20-18:33:24,08/12/20-21:59:25,,v2
MOBS-GLEAM_COVID,8/17/20,8/22/20,inc,51,08/17/20-17:53:42,,,v1
MOBS-GLEAM_COVID,8/24/20,8/29/20,inc,51,08/24/20-18:20:50,,,v1
LANL-GrowthRate,6/14/20,6/20/20,inc,51,06/15/20-17:14:17,06/16/20-15:01:22,,v2
LANL-GrowthRate,6/21/20,6/27/20,inc,51,06/22/20-17:14:49,,,v1
LANL-GrowthRate,6/29/20,7/4/20,inc,51,06/29/20-18:09:58,,,v1
LANL-GrowthRate,7/6/20,7/11/20,inc,51,07/06/20-18:52:00,,,v1
LANL-GrowthRate,7/13/20,7/18/20,inc,51,07/13/20-16:50:24,,,v1
LANL-GrowthRate,7/20/20,7/25/20,inc,51,07/20/20-16:14:12,,,v1
LANL-GrowthRate,7/27/20,8/1/20,inc,51,07/27/20-18:35:07,,,v1
LANL-GrowthRate,8/3/20,8/8/20,inc,51,08/03/20-18:12:10,,,v1
LANL-GrowthRate,8/10/20,8/15/20,inc,51,08/10/20-14:39:55,,,v1
LANL-GrowthRate,8/17/20,8/22/20,inc,51,08/17/20-17:50:19,,,v1
LANL-GrowthRate,8/24/20,8/29/20,inc,51,08/24/20-16:24:04,,,v1
YYG-ParamSearch,5/18/20,5/23/20,inc,51,05/18/20-17:05:20,,,v1
YYG-ParamSearch,5/25/20,5/30/20,inc,51,05/25/20-09:17:04,,,v1
YYG-ParamSearch,6/1/20,6/6/20,inc,51,06/01/20-08:09:38,,,v1
YYG-ParamSearch,6/8/20,6/13/20,inc,51,06/08/20-12:28:24,,,v1
YYG-ParamSearch,6/15/20,6/20/20,inc,51,06/15/20-15:01:01,,,v1
YYG-ParamSearch,6/22/20,6/27/20,inc,51,06/22/20-10:41:19,,,v1
YYG-ParamSearch,6/29/20,7/4/20,inc,51,06/29/20-07:48:29,,,v1
YYG-ParamSearch,7/6/20,7/11/20,inc,51,07/06/20-21:05:10,,,v1
YYG-ParamSearch,7/13/20,7/18/20,inc,51,07/13/20-15:55:44,,,v1
YYG-ParamSearch,7/20/20,7/25/20,inc,51,07/20/20-16:48:40,,,v1
YYG-ParamSearch,7/27/20,8/1/20,inc,51,07/27/20-18:19:43,,,v1
YYG-ParamSearch,8/3/20,8/8/20,inc,51,08/03/20-18:11:09,,,v1
YYG-ParamSearch,8/10/20,8/15/20,inc,51,08/10/20-18:32:50,,,v1
YYG-ParamSearch,8/17/20,8/22/20,inc,51,08/17/20-17:52:03,,,v1
YYG-ParamSearch,8/24/20,8/29/20,inc,51,08/24/20-18:21:14,,,v1
JHU_IDD-CovidSP,5/17/20,5/23/20,inc,51,05/18/20-17:59:57,,,v1
JHU_IDD-CovidSP,5/24/20,5/30/20,inc,51,05/25/20-17:15:56,05/26/20-13:02:34,,v2
JHU_IDD-CovidSP,5/31/20,6/6/20,inc,51,06/01/20-13:37:41,,,v1
JHU_IDD-CovidSP,6/7/20,6/13/20,inc,51,06/08/20-15:30:18,,,v1
JHU_IDD-CovidSP,6/14/20,6/20/20,inc,51,06/15/20-17:29:45,,,v1
JHU_IDD-CovidSP,6/21/20,6/27/20,inc,51,06/23/20-10:46:04,,,v1
JHU_IDD-CovidSP,6/28/20,7/4/20,inc,51,06/29/20-16:33:05,,,v1
JHU_IDD-CovidSP,7/5/20,7/11/20,inc,51,07/06/20-21:07:51,,,v1
JHU_IDD-CovidSP,7/12/20,7/18/20,inc,51,07/13/20-17:31:06,,,v1
JHU_IDD-CovidSP,7/19/20,7/25/20,inc,51,07/20/20-20:38:55,,,v1
JHU_IDD-CovidSP,7/26/20,8/1/20,inc,51,07/28/20-10:18:45,,,v1
JHU_IDD-CovidSP,8/2/20,8/8/20,inc,51,08/03/20-14:49:46,,,v1
JHU_IDD-CovidSP,8/9/20,8/15/20,inc,51,08/10/20-14:11:10,,,v1
JHU_IDD-CovidSP,8/16/20,8/22/20,inc,51,08/17/20-17:49:55,,,v1
JHU_IDD-CovidSP,8/23/20,8/29/20,inc,51,08/24/20-18:18:30,,,v1
